,hubmap_id,group_name,dataset_type
0,HBM732.GQLB.743,University of Florida TMC,CODEX [Cytokit + SPRM]
1,HBM987.XGTH.368,University of Florida TMC,CODEX
2,HBM696.DSTM.687,University of Florida TMC,CODEX [Cytokit + SPRM]
3,HBM536.GZQR.922,University of Florida TMC,RNAseq [Salmon]
4,HBM472.NTNN.543,University of Florida TMC,RNAseq
5,HBM338.TDRB.772,University of Florida TMC,
6,HBM373.RTKK.586,University of Florida TMC,RNAseq
7,HBM558.SRZG.629,University of Florida TMC,CODEX
8,HBM538.PHSC.677,University of Florida TMC,RNAseq [Salmon]
9,HBM733.NFWS.792,University of Florida TMC,
10,HBM623.TSMG.452,University of Florida TMC,CODEX
11,HBM362.RFHX.274,University of Florida TMC,CODEX [Cytokit + SPRM]
12,HBM286.LQFR.435,University of Florida TMC,
13,HBM749.QJZK.937,University of Florida TMC,
14,HBM556.QMSM.776,University of Florida TMC,RNAseq
15,HBM647.MFQB.496,University of Florida TMC,CODEX
16,HBM749.WHLC.649,University of Florida TMC,RNAseq
17,HBM682.WKXK.867,University of Florida TMC,
18,HBM336.FWTN.636,University of Florida TMC,RNAseq
19,HBM342.JTKN.834,University of Florida TMC,CODEX
20,HBM377.TVMS.734,University of Florida TMC,2D Imaging Mass Cytometry [Image Pyramid]
21,HBM268.KFRS.574,University of Florida TMC,2D Imaging Mass Cytometry [Image Pyramid]
22,HBM234.ZMWX.697,University of Florida TMC,
23,HBM878.QLSS.279,University of Florida TMC,2D Imaging Mass Cytometry [Image Pyramid]
24,HBM838.WXVW.284,University of Florida TMC,
25,HBM983.SRWC.777,University of Florida TMC,
26,HBM645.TQTF.532,University of Florida TMC,
27,HBM579.DQWG.388,University of Florida TMC,
28,HBM287.TLBJ.556,University of Florida TMC,
29,HBM366.XKPX.554,University of Florida TMC,CODEX [Cytokit + SPRM]
30,HBM658.NKSZ.578,University of Florida TMC,
31,HBM287.QFKL.692,University of Florida TMC,CODEX [Cytokit + SPRM]
32,HBM822.MQNG.225,University of Florida TMC,CODEX [Cytokit + SPRM]
33,HBM545.WPDT.262,University of Florida TMC,CODEX [Cytokit + SPRM]
34,HBM356.BVRR.244,University of Florida TMC,CODEX [Cytokit + SPRM]
35,HBM675.SDNC.963,University of Florida TMC,Light Sheet
36,HBM945.XPKJ.998,University of Florida TMC,Light Sheet [Image Pyramid]
37,HBM472.SZJZ.622,University of Florida TMC,2D Imaging Mass Cytometry
38,HBM927.CWBF.456,University of Florida TMC,2D Imaging Mass Cytometry [Image Pyramid]
39,HBM989.VVXT.224,University of Florida TMC,CODEX [Cytokit + SPRM]
40,HBM573.SRBV.565,University of Florida TMC,
41,HBM244.TJLK.223,University of Florida TMC,CODEX
42,HBM633.CLVN.674,University of Florida TMC,CODEX
43,HBM738.TXMT.668,University of Florida TMC,
44,HBM759.NFNZ.647,University of Florida TMC,
45,HBM273.LHDV.987,University of Florida TMC,CODEX [Cytokit + SPRM]
46,HBM785.CNWZ.888,University of Florida TMC,CODEX [Cytokit + SPRM]
47,HBM277.GJFC.833,University of Florida TMC,CODEX
48,HBM427.SMGB.866,University of Florida TMC,CODEX
49,HBM293.XRCC.846,University of Florida TMC,
50,HBM353.PBPQ.757,University of Florida TMC,CODEX [Cytokit + SPRM]
51,HBM226.LBVC.946,University of Florida TMC,RNAseq
52,HBM897.QGJF.429,University of Florida TMC,
53,HBM443.TZCQ.232,University of Florida TMC,CODEX [Cytokit + SPRM]
54,HBM483.KDBW.482,University of Florida TMC,CODEX
55,HBM447.MZTB.589,University of Florida TMC,
56,HBM345.NLTW.958,University of Florida TMC,
57,HBM685.TBGN.663,University of Florida TMC,CODEX [Cytokit + SPRM]
58,HBM744.TGMS.672,University of Florida TMC,CODEX [Cytokit + SPRM]
59,HBM326.NRWR.638,University of Florida TMC,
60,HBM268.NKXB.243,University of Florida TMC,CODEX [Cytokit + SPRM]
61,HBM338.MNSC.953,University of Florida TMC,
62,HBM396.BXSQ.568,University of Florida TMC,CODEX [Cytokit + SPRM]
63,HBM384.XMBW.725,University of Florida TMC,Light Sheet
64,HBM536.HTQR.233,University of Florida TMC,
65,HBM337.QDTN.869,University of Florida TMC,
66,HBM433.RVMH.946,University of Florida TMC,
67,HBM288.ZWLS.355,University of Florida TMC,
68,HBM495.VWBD.428,University of Florida TMC,CODEX [Cytokit + SPRM]
69,HBM685.KHRQ.684,University of Florida TMC,
70,HBM746.ZTBR.275,University of Florida TMC,CODEX
71,HBM278.SFQW.627,University of Florida TMC,
72,HBM722.RCMR.826,University of Florida TMC,CODEX [Cytokit + SPRM]
73,HBM496.ZJFC.554,University of Florida TMC,CODEX [Cytokit + SPRM]
74,HBM362.QZWG.832,University of Florida TMC,CODEX [Cytokit + SPRM]
75,HBM893.CCKX.496,University of Florida TMC,CODEX [Cytokit + SPRM]
76,HBM774.LTVV.995,University of Florida TMC,CODEX [Cytokit + SPRM]
77,HBM882.DNWX.356,University of Florida TMC,
78,HBM957.JXKN.887,University of Florida TMC,CODEX
79,HBM798.MXFT.837,University of Florida TMC,CODEX
80,HBM938.TNNT.879,University of Florida TMC,CODEX [Cytokit + SPRM]
81,HBM337.LFBG.349,University of Florida TMC,CODEX [Cytokit + SPRM]
82,HBM877.GTKS.653,University of Florida TMC,
83,HBM299.TTLG.749,University of Florida TMC,CODEX [Cytokit + SPRM]
84,HBM585.FCXH.792,University of Florida TMC,
85,HBM723.BZKF.992,University of Florida TMC,CODEX
86,HBM643.RGRZ.429,University of Florida TMC,
87,HBM863.HZBL.628,University of Florida TMC,
88,HBM592.KNRW.784,University of Florida TMC,
89,HBM388.MPQC.336,University of Florida TMC,RNAseq [Salmon]
90,HBM263.TLLN.467,University of Florida TMC,RNAseq
91,HBM927.KDXB.445,University of Florida TMC,CODEX
92,HBM673.TNZM.339,University of Florida TMC,CODEX [Cytokit + SPRM]
93,HBM386.GZKR.947,University of Florida TMC,
94,HBM528.RHMC.832,University of Florida TMC,
95,HBM543.RSRV.265,University of Florida TMC,CODEX
96,HBM684.MFNQ.782,University of Florida TMC,
97,HBM994.TNMH.444,University of Florida TMC,
98,HBM437.HTCQ.742,University of Florida TMC,
99,HBM355.CZJX.599,University of Florida TMC,CODEX
